￥4499.00,华为（HUAWEI）笔记本电脑MateBook D 16 2024 13代酷睿版 i5 16G 1T/高性能轻薄办公本/16英寸护眼全面屏/手机互联 深空灰,5000+条评价,华为京东自营官方旗舰店
￥3999.00,华硕无畏15 13代酷睿i5标压 15.6英寸144Hz高刷屏轻薄高性能笔记本电脑(i5-13500H 16G 512G 高色域)银,5万+条评价,华硕京东自营官方旗舰店
￥3699.00,惠普（HP）战66六代 锐龙版15.6英寸轻薄笔记本电脑(2023锐龙R5-7530U 16G 1TB 长续航 高色域低蓝光屏 AI新体验高性能),20万+条评价,惠普京东自营官方旗舰店
￥2708.00,国行【2023款英特尔可选酷睿】金属笔记本电脑轻薄本大学生上网课设计学习商务办公游戏手提 高配英特尔四核+12代 IPS屏窄边全面屏+抗蓝光 32G运行+10,10万+条评价,HUWI旗舰店
￥2168.00,国行【2023款英特尔可选酷睿】金属笔记本电脑轻薄本大学生上网课设计学习商务办公游戏手提 高配英特尔四核+12代 IPS屏窄边全面屏+抗蓝光 16G运行+10,10万+条评价,HUWI旗舰店
￥2779.00,小米笔记本电脑 Redmi Book 15E 防眩光全高清屏笔记本电脑（酷睿i7 16G 512G 正版office DC调光 长续航）,1万+条评价,小米京东自营旗舰店
￥1895.00,宏碁(Acer)优跃air笔记本电脑 14英寸办公学生轻薄本(12代四核 8G 512G 防窥摄像头),2000+条评价,宏碁商用京东自营旗舰店
￥4999.00,惠普星Book15【2023新款AMD旗舰锐龙7代】高性能轻薄笔记本电脑,5000+条评价,惠普（HP）专卖店
￥3799.00,戴睿（dere）幻影GT 超能16英寸英特尔酷睿i9 笔记本电脑2.5K屏轻薄便携设计商务办公学生网课游戏电竞本 32G/1TB/魅影灰,500+条评价,DERE戴睿京东自营旗舰店
￥6099.00,惠普（HP）锐Pro 14英寸轻薄笔记本电脑(英特尔酷睿13代i7-1360P 高频32G 1T 2.5K 120Hz高色域 Evo认证 长续航 高性能),2000+条评价,惠普京东自营官方旗舰店
￥4499.00,惠普（HP）战66 六代锐龙版15.6英寸轻薄笔记本电脑(2023锐龙R7-7730U 32G 1T 长续航 高色域低蓝光屏 AI新体验 高性能),20万+条评价,惠普京东自营官方旗舰店
￥1276.00,拍拍联想（Lenovo)二手笔记本电脑小新 Air/pro 13/14/15.6寸 轻薄商务制图办公本 95新主流办公 i7-16G-1TB固态独显 热荐 .,2万+条评价,至上优品二手电脑专营店
￥1655.00,官方2023全新【英特尔酷睿i7独显】金属笔记本电脑轻薄本大学生网课设计学习商务办公设计游戏本手提 高配冰川银【英特尔13代+背光指纹+全面屏】 16,2000+条评价,HUVVE笔记本旗舰店
￥7499.00,华硕灵耀14 2024 全新酷睿标压Ultra7 2.8K 120Hz OLED屏高颜值AI超轻薄商务办公(155H 32G 1T) 蓝,2000+条评价,华硕京东自营官方旗舰店
￥1119.00,拍拍联想（Lenovo）二手笔记本电脑小新Air/Pro 14/15寸设计制图 网课学习 商务办公轻薄本 95新【店长力荐】I7-16G-1TB固态 独显,5000+条评价,星晟二手电脑专营店
￥3794.00,机械师曙光16Air 16英寸2.5K锐龙R7-7735H标压轻薄本120Hz高色域笔记本电脑全能本 耀夜灰 DDR5 16G/512G PCIE4.0,2000+条评价,机械师京东自营旗舰店
￥1998.00,爱心东东HUAV国行【2023款英特尔可选酷睿】金属笔记本电脑轻薄本大学生上网课设计学习商务办公游戏手提 高配英特尔四核+13代 IPS屏窄边全面屏+抗蓝光 32G运,2万+条评价,HUAV官方旗舰店
￥3739.00,华为（HUAWEI） 笔记本电脑MateBook D16/SE 16英寸大屏轻薄本商务办公超极本手提 SE银丨i5-13420H 16GB 512G,2000+条评价,华为比特专卖店
￥2298.00,国行【2023新品13代4K全面屏】笔记本电脑轻薄本游戏本学生商务商用办公本高性能高端超薄手提 高配暗夜黑【英特尔13代+指纹+全面屏】 32GB运存+5,2万+条评价,荣耀剑舞旗舰店
￥2188.00,【20万+人加购】英特尔12代4K笔记本电脑,5万+条评价,系能旗舰店
￥1999.00,拍拍联想（Lenovo) 拯救者15.6寸Y7000/ R9000P高刷电竞吃鸡设计游戏本二手 95新 I7-标压 GTX960 游戏通杀 16G内存+512G固态,5万+条评价,新茂二手电脑专营店
￥5499.00,惠普HP 星Book Pro 16英寸大屏轻薄笔记本电脑(13代酷睿i7-13700H 16G 1TB 2.5K 120HzVRR 400尼特 EVO认证)咖色,1万+条评价,惠普京东自营官方旗舰店
￥1468.00,拍拍联想(Thinkpad)(i7/16G运行/独显)二手笔记本电脑 T450/430商务办公网课游戏本 95新 T430 i7 16G 512G固态 独显,2万+条评价,京品优选二手电脑专营店
￥1218.00,戴睿（dere）【网红热荐】14英寸ips屏高颜值笔记本电脑轻薄便携学生游戏商务办公网课学习（英特尔 8G 128G）星空银,1000+条评价,DERE戴睿京东自营旗舰店
￥538.00,拍拍联想 小新air 小新pro 轻薄办公本E42学习THINKPAD 二手笔记本电脑 95新 9】酷睿双核 4G 320G 便携高配 办公推荐,2万+条评价,京兆二手电脑专营店
￥249.00,诺希 华硕笔记本电池B31N1535/U4000UQ/U4000UQ7200/U4000UQ7500/RX310UQ/UX410UQK电池,1000+条评价,诺希京东自营旗舰店
￥6999.00,华为笔记本电脑MateBook D16 2023 13代酷睿版 i9 16G 1T/轻薄商务办公本/16英寸护眼全面屏/手机互联 深空灰,1万+条评价,华为京东自营官方旗舰店
￥1288.00,拍拍戴尔（DELL）灵越 成就 二手笔记本电脑 14/15.6寸大屏商务办公 网课学习 设计制图 轻薄本 【店长力荐】I7-16G-1TB固态-HD强劲显卡 95成新,500+条评价,耀辉二手电脑专营店
￥1698.00,爱心东东HUAV国行【2023款英特尔可选酷睿】金属笔记本电脑轻薄本大学生上网课设计学习商务办公游戏手提 高配英特尔四核+13代 IPS屏窄边全面屏+抗蓝光 16G运,2万+条评价,HUAV官方旗舰店
￥1280.00,戴睿（dere）2023款高颜值V14金属笔记本电脑 轻薄便携学生商务办公设计编辑家用网课游戏手提 英特尔 8G+128G 樱花粉,2000+条评价,DERE戴睿京东自营旗舰店
￥2146.00,拍拍联想（Lenovo) 拯救者15.6寸Y7000/ R9000P高刷电竞吃鸡设计游戏本二手 95新 I5-7300H GTX1050 制图游戏 16G内存+512G固态,5万+条评价,新茂二手电脑专营店
￥3999.00,华硕无畏15 13代酷睿i5标压 15.6英寸144Hz高刷屏轻薄高性能笔记本电脑(i5-13500H 16G 512G 高色域)银,5万+条评价,华硕京东自营官方旗舰店
￥3699.00,惠普（HP）战66六代 锐龙版15.6英寸轻薄笔记本电脑(2023锐龙R5-7530U 16G 1TB 长续航 高色域低蓝光屏 AI新体验高性能),20万+条评价,惠普京东自营官方旗舰店
￥2708.00,国行【2023款英特尔可选酷睿】金属笔记本电脑轻薄本大学生上网课设计学习商务办公游戏手提 高配英特尔四核+12代 IPS屏窄边全面屏+抗蓝光 32G运行+10,10万+条评价,HUWI旗舰店
￥2168.00,国行【2023款英特尔可选酷睿】金属笔记本电脑轻薄本大学生上网课设计学习商务办公游戏手提 高配英特尔四核+12代 IPS屏窄边全面屏+抗蓝光 16G运行+10,10万+条评价,HUWI旗舰店
￥2779.00,小米笔记本电脑 Redmi Book 15E 防眩光全高清屏笔记本电脑（酷睿i7 16G 512G 正版office DC调光 长续航）,1万+条评价,小米京东自营旗舰店
￥1895.00,宏碁(Acer)优跃air笔记本电脑 14英寸办公学生轻薄本(12代四核 8G 512G 防窥摄像头),2000+条评价,宏碁商用京东自营旗舰店
￥4999.00,惠普星Book15【2023新款AMD旗舰锐龙7代】高性能轻薄笔记本电脑,5000+条评价,惠普（HP）专卖店
￥3799.00,戴睿（dere）幻影GT 超能16英寸英特尔酷睿i9 笔记本电脑2.5K屏轻薄便携设计商务办公学生网课游戏电竞本 32G/1TB/魅影灰,500+条评价,DERE戴睿京东自营旗舰店
￥6099.00,惠普（HP）锐Pro 14英寸轻薄笔记本电脑(英特尔酷睿13代i7-1360P 高频32G 1T 2.5K 120Hz高色域 Evo认证 长续航 高性能),2000+条评价,惠普京东自营官方旗舰店
￥4499.00,惠普（HP）战66 六代锐龙版15.6英寸轻薄笔记本电脑(2023锐龙R7-7730U 32G 1T 长续航 高色域低蓝光屏 AI新体验 高性能),20万+条评价,惠普京东自营官方旗舰店
￥1276.00,拍拍联想（Lenovo)二手笔记本电脑小新 Air/pro 13/14/15.6寸 轻薄商务制图办公本 95新主流办公 i7-16G-1TB固态独显 热荐 .,2万+条评价,至上优品二手电脑专营店
￥1655.00,官方2023全新【英特尔酷睿i7独显】金属笔记本电脑轻薄本大学生网课设计学习商务办公设计游戏本手提 高配冰川银【英特尔13代+背光指纹+全面屏】 16,2000+条评价,HUVVE笔记本旗舰店
